District (Kecamatan),Regency (Kabupaten/Kota),Province
PULAU-PULAU BATU,NIAS SELATAN,SUMATERA UTARA
PULAU-PULAU BATU TIMUR,NIAS SELATAN,SUMATERA UTARA
SIMUK,NIAS SELATAN,SUMATERA UTARA
PULAU-PULAU BATU BARAT,NIAS SELATAN,SUMATERA UTARA
PULAU-PULAU BATU UTARA,NIAS SELATAN,SUMATERA UTARA
TELUK DALAM,NIAS SELATAN,SUMATERA UTARA
FANAYAMA,NIAS SELATAN,SUMATERA UTARA
TOMA,NIAS SELATAN,SUMATERA UTARA
MANIAMOLO,NIAS SELATAN,SUMATERA UTARA
MAZINO,NIAS SELATAN,SUMATERA UTARA
LUAHAGUNDRE MANIAMOLO,NIAS SELATAN,SUMATERA UTARA
ONOLALU,NIAS SELATAN,SUMATERA UTARA
AMANDRAYA,NIAS SELATAN,SUMATERA UTARA
ARAMO,NIAS SELATAN,SUMATERA UTARA
ULUSUSUA,NIAS SELATAN,SUMATERA UTARA
LAHUSA,NIAS SELATAN,SUMATERA UTARA
SIDUAORI,NIAS SELATAN,SUMATERA UTARA
SOMAMBAWA,NIAS SELATAN,SUMATERA UTARA
GOMO,NIAS SELATAN,SUMATERA UTARA
SUSUA,NIAS SELATAN,SUMATERA UTARA
MAZO,NIAS SELATAN,SUMATERA UTARA
UMBUNASI,NIAS SELATAN,SUMATERA UTARA
IDANOTAE,NIAS SELATAN,SUMATERA UTARA
ULUIDANOTAE,NIAS SELATAN,SUMATERA UTARA
BORONADU,NIAS SELATAN,SUMATERA UTARA
LOLOMATUA,NIAS SELATAN,SUMATERA UTARA
ULUNOYO,NIAS SELATAN,SUMATERA UTARA
HURUNA,NIAS SELATAN,SUMATERA UTARA
LOLOWA'U,NIAS SELATAN,SUMATERA UTARA
HILIMEGAI,NIAS SELATAN,SUMATERA UTARA
OOU,NIAS SELATAN,SUMATERA UTARA
ONOHAZUMBA,NIAS SELATAN,SUMATERA UTARA
HILISALAWAAHE,NIAS SELATAN,SUMATERA UTARA
PAKKAT,HUMBANG HASUNDUTAN,SUMATERA UTARA
ONAN GANJANG,HUMBANG HASUNDUTAN,SUMATERA UTARA
SIJAMA POLANG,HUMBANG HASUNDUTAN,SUMATERA UTARA
DOLOK SANGGUL,HUMBANG HASUNDUTAN,SUMATERA UTARA
LINTONG NIHUTA,HUMBANG HASUNDUTAN,SUMATERA UTARA
PARANGINAN,HUMBANG HASUNDUTAN,SUMATERA UTARA
BAKTI RAJA,HUMBANG HASUNDUTAN,SUMATERA UTARA
POLLUNG,HUMBANG HASUNDUTAN,SUMATERA UTARA
PARLILITAN,HUMBANG HASUNDUTAN,SUMATERA UTARA
TARA BINTANG,HUMBANG HASUNDUTAN,SUMATERA UTARA
SALAK,PAKPAK BHARAT,SUMATERA UTARA
SITELLU TALI URANG JEHE,PAKPAK BHARAT,SUMATERA UTARA
PAGINDAR,PAKPAK BHARAT,SUMATERA UTARA
SITELLU TALI URANG JULU,PAKPAK BHARAT,SUMATERA UTARA
PERGETTENG-GETTENG SENGKUT,PAKPAK BHARAT,SUMATERA UTARA
KERAJAAN,PAKPAK BHARAT,SUMATERA UTARA
TINADA,PAKPAK BHARAT,SUMATERA UTARA
SIEMPAT RUBE,PAKPAK BHARAT,SUMATERA UTARA
SIANJUR MULA MULA,SAMOSIR,SUMATERA UTARA
HARIAN,SAMOSIR,SUMATERA UTARA
SITIO-TIO,SAMOSIR,SUMATERA UTARA
ONAN RUNGGU,SAMOSIR,SUMATERA UTARA
NAINGGOLAN,SAMOSIR,SUMATERA UTARA
PALIPI,SAMOSIR,SUMATERA UTARA
RONGGUR NIHUTA,SAMOSIR,SUMATERA UTARA
PANGURURAN,SAMOSIR,SUMATERA UTARA
SIMANINDO,SAMOSIR,SUMATERA UTARA
KOTARIH,SERDANG BEDAGAI,SUMATERA UTARA
SILINDA,SERDANG BEDAGAI,SUMATERA UTARA
BINTANG BAYU,SERDANG BEDAGAI,SUMATERA UTARA
DOLOK MASIHUL,SERDANG BEDAGAI,SUMATERA UTARA
SERBAJADI,SERDANG BEDAGAI,SUMATERA UTARA
SIPISPIS,SERDANG BEDAGAI,SUMATERA UTARA
DOLOK MERAWAN,SERDANG BEDAGAI,SUMATERA UTARA
TEBINGTINGGI,SERDANG BEDAGAI,SUMATERA UTARA
TEBING SYAHBANDAR,SERDANG BEDAGAI,SUMATERA UTARA
BANDAR KHALIPAH,SERDANG BEDAGAI,SUMATERA UTARA
TANJUNG BERINGIN,SERDANG BEDAGAI,SUMATERA UTARA
SEI RAMPAH,SERDANG BEDAGAI,SUMATERA UTARA
SEI BAMBAN,SERDANG BEDAGAI,SUMATERA UTARA
TELUK MENGKUDU,SERDANG BEDAGAI,SUMATERA UTARA
PERBAUNGAN,SERDANG BEDAGAI,SUMATERA UTARA
PEGAJAHAN,SERDANG BEDAGAI,SUMATERA UTARA
PANTAI CERMIN,SERDANG BEDAGAI,SUMATERA UTARA
SEI BALAI,BATU BARA,SUMATERA UTARA
TANJUNG TIRAM,BATU BARA,SUMATERA UTARA
NIBUNG HANGUS,BATU BARA,SUMATERA UTARA
TALAWI,BATU BARA,SUMATERA UTARA
DATUK TANAH DATAR,BATU BARA,SUMATERA UTARA
LIMAPULUH,BATU BARA,SUMATERA UTARA
LIMA PULUH PESISIR,BATU BARA,SUMATERA UTARA
DATUK LIMA PULUH,BATU BARA,SUMATERA UTARA
AIR PUTIH,BATU BARA,SUMATERA UTARA
SEI SUKA,BATU BARA,SUMATERA UTARA
LAUT TADOR,BATU BARA,SUMATERA UTARA
MEDANG DERAS,BATU BARA,SUMATERA UTARA
BATANG ONANG,PADANG LAWAS UTARA,SUMATERA UTARA
PADANG BOLAK JULU,PADANG LAWAS UTARA,SUMATERA UTARA
PORTIBI,PADANG LAWAS UTARA,SUMATERA UTARA
PADANG BOLAK,PADANG LAWAS UTARA,SUMATERA UTARA
PADANG BOLAK TENGGARA,PADANG LAWAS UTARA,SUMATERA UTARA
SIMANGAMBAT,PADANG LAWAS UTARA,SUMATERA UTARA
UJUNG BATU,PADANG LAWAS UTARA,SUMATERA UTARA
HALONGONAN,PADANG LAWAS UTARA,SUMATERA UTARA
HALONGONAN TIMUR,PADANG LAWAS UTARA,SUMATERA UTARA
DOLOK,PADANG LAWAS UTARA,SUMATERA UTARA
DOLOK SIGOMPULON,PADANG LAWAS UTARA,SUMATERA UTARA
HULU SIHAPAS,PADANG LAWAS UTARA,SUMATERA UTARA
SOSOPAN,PADANG LAWAS,SUMATERA UTARA
ULU BARUMUN,PADANG LAWAS,SUMATERA UTARA
BARUMUN,PADANG LAWAS,SUMATERA UTARA
BARUMUN SELATAN,PADANG LAWAS,SUMATERA UTARA
LUBUK BARUMUN,PADANG LAWAS,SUMATERA UTARA
SOSA,PADANG LAWAS,SUMATERA UTARA
BATANG LUBU SUTAM,PADANG LAWAS,SUMATERA UTARA
HUTA RAJA TINGGI,PADANG LAWAS,SUMATERA UTARA
HURISTAK,PADANG LAWAS,SUMATERA UTARA
BARUMUN TENGAH,PADANG LAWAS,SUMATERA UTARA
AEK NABARA BARUMUN,PADANG LAWAS,SUMATERA UTARA
SIHAPAS BARUMUN,PADANG LAWAS,SUMATERA UTARA
SUNGAI KANAN,LABUHAN BATU SELATAN,SUMATERA UTARA
TORGAMBA,LABUHAN BATU SELATAN,SUMATERA UTARA
KOTA PINANG,LABUHAN BATU SELATAN,SUMATERA UTARA
SILANGKITANG,LABUHAN BATU SELATAN,SUMATERA UTARA
KAMPUNG RAKYAT,LABUHAN BATU SELATAN,SUMATERA UTARA
NA IX-X,LABUHAN BATU UTARA,SUMATERA UTARA
MARBAU,LABUHAN BATU UTARA,SUMATERA UTARA
AEK KUO,LABUHAN BATU UTARA,SUMATERA UTARA
AEK NATAS,LABUHAN BATU UTARA,SUMATERA UTARA
KUALUH SELATAN,LABUHAN BATU UTARA,SUMATERA UTARA
KUALUH HILIR,LABUHAN BATU UTARA,SUMATERA UTARA
KUALUH HULU,LABUHAN BATU UTARA,SUMATERA UTARA
KUALUH LEIDONG,LABUHAN BATU UTARA,SUMATERA UTARA
TUGALA OYO,NIAS UTARA,SUMATERA UTARA
ALASA,NIAS UTARA,SUMATERA UTARA
ALASA TALU MUZOI,NIAS UTARA,SUMATERA UTARA
NAMOHALU ESIWA,NIAS UTARA,SUMATERA UTARA
SITOLU ORI,NIAS UTARA,SUMATERA UTARA
TUHEMBERUA,NIAS UTARA,SUMATERA UTARA
SAWO,NIAS UTARA,SUMATERA UTARA
LOTU,NIAS UTARA,SUMATERA UTARA
LAHEWA TIMUR,NIAS UTARA,SUMATERA UTARA
AFULU,NIAS UTARA,SUMATERA UTARA
LAHEWA,NIAS UTARA,SUMATERA UTARA
SIROMBU,NIAS BARAT,SUMATERA UTARA
LAHOMI,NIAS BARAT,SUMATERA UTARA
ULU MORO O,NIAS BARAT,SUMATERA UTARA
LOLOFITU MOI,NIAS BARAT,SUMATERA UTARA
MANDREHE UTARA,NIAS BARAT,SUMATERA UTARA
MANDREHE,NIAS BARAT,SUMATERA UTARA
MANDREHE BARAT,NIAS BARAT,SUMATERA UTARA
MORO O,NIAS BARAT,SUMATERA UTARA
SIBOLGA UTARA,SIBOLGA,SUMATERA UTARA
SIBOLGA KOTA,SIBOLGA,SUMATERA UTARA
SIBOLGA SELATAN,SIBOLGA,SUMATERA UTARA
SIBOLGA SAMBAS,SIBOLGA,SUMATERA UTARA
DATUK BANDAR,TANJUNG BALAI,SUMATERA UTARA
DATUK BANDAR TIMUR,TANJUNG BALAI,SUMATERA UTARA
TANJUNG BALAI SELATAN,TANJUNG BALAI,SUMATERA UTARA
TANJUNG BALAI UTARA,TANJUNG BALAI,SUMATERA UTARA
SEI TUALANG RASO,TANJUNG BALAI,SUMATERA UTARA
TELUK NIBUNG,TANJUNG BALAI,SUMATERA UTARA
SIANTAR MARIHAT,PEMATANG SIANTAR,SUMATERA UTARA
SIANTAR MARIMBUN,PEMATANG SIANTAR,SUMATERA UTARA
SIANTAR SELATAN,PEMATANG SIANTAR,SUMATERA UTARA
SIANTAR BARAT,PEMATANG SIANTAR,SUMATERA UTARA
SIANTAR UTARA,PEMATANG SIANTAR,SUMATERA UTARA
SIANTAR TIMUR,PEMATANG SIANTAR,SUMATERA UTARA
SIANTAR MARTOBA,PEMATANG SIANTAR,SUMATERA UTARA
SIANTAR SITALASARI,PEMATANG SIANTAR,SUMATERA UTARA
PADANG HULU,TEBING TINGGI,SUMATERA UTARA
TEBING TINGGI KOTA,TEBING TINGGI,SUMATERA UTARA
RAMBUTAN,TEBING TINGGI,SUMATERA UTARA
BAJENIS,TEBING TINGGI,SUMATERA UTARA
PADANG HILIR,TEBING TINGGI,SUMATERA UTARA
MEDAN TUNTUNGAN,MEDAN,SUMATERA UTARA
MEDAN JOHOR,MEDAN,SUMATERA UTARA
MEDAN AMPLAS,MEDAN,SUMATERA UTARA
MEDAN DENAI,MEDAN,SUMATERA UTARA
MEDAN AREA,MEDAN,SUMATERA UTARA
MEDAN KOTA,MEDAN,SUMATERA UTARA
MEDAN MAIMUN,MEDAN,SUMATERA UTARA
MEDAN POLONIA,MEDAN,SUMATERA UTARA
MEDAN BARU,MEDAN,SUMATERA UTARA
MEDAN SELAYANG,MEDAN,SUMATERA UTARA
MEDAN SUNGGAL,MEDAN,SUMATERA UTARA
MEDAN HELVETIA,MEDAN,SUMATERA UTARA
MEDAN PETISAH,MEDAN,SUMATERA UTARA
MEDAN BARAT,MEDAN,SUMATERA UTARA
MEDAN TIMUR,MEDAN,SUMATERA UTARA
MEDAN PERJUANGAN,MEDAN,SUMATERA UTARA
MEDAN TEMBUNG,MEDAN,SUMATERA UTARA
MEDAN DELI,MEDAN,SUMATERA UTARA
MEDAN LABUHAN,MEDAN,SUMATERA UTARA
MEDAN MARELAN,MEDAN,SUMATERA UTARA
MEDAN BELAWAN,MEDAN,SUMATERA UTARA
BINJAI SELATAN,BINJAI,SUMATERA UTARA
BINJAI KOTA,BINJAI,SUMATERA UTARA
BINJAI TIMUR,BINJAI,SUMATERA UTARA
BINJAI UTARA,BINJAI,SUMATERA UTARA
BINJAI BARAT,BINJAI,SUMATERA UTARA
PADANGSIDIMPUAN TENGGARA,PADANGSIDIMPUAN,SUMATERA UTARA
PADANGSIDIMPUAN SELATAN,PADANGSIDIMPUAN,SUMATERA UTARA
PADANGSIDIMPUAN BATUNADUA,PADANGSIDIMPUAN,SUMATERA UTARA
PADANGSIDIMPUAN UTARA,PADANGSIDIMPUAN,SUMATERA UTARA
PADANGSIDIMPUAN HUTAIMBARU,PADANGSIDIMPUAN,SUMATERA UTARA
PADANGSIDIMPUAN ANGKOLA JULU,PADANGSIDIMPUAN,SUMATERA UTARA
GUNUNGSITOLI IDANOI,GUNUNGSITOLI,SUMATERA UTARA
GUNUNGSITOLI SELATAN,GUNUNGSITOLI,SUMATERA UTARA
GUNUNGSITOLI BARAT,GUNUNGSITOLI,SUMATERA UTARA
GUNUNG SITOLI,GUNUNGSITOLI,SUMATERA UTARA
GUNUNGSITOLI ALO OA,GUNUNGSITOLI,SUMATERA UTARA
GUNUNGSITOLI UTARA,GUNUNGSITOLI,SUMATERA UTARA
PAGAI SELATAN,KEPULAUAN MENTAWAI,SUMATERA BARAT
SIKAKAP,KEPULAUAN MENTAWAI,SUMATERA BARAT
PAGAI UTARA,KEPULAUAN MENTAWAI,SUMATERA BARAT
SIPORA SELATAN,KEPULAUAN MENTAWAI,SUMATERA BARAT
SIPORA UTARA,KEPULAUAN MENTAWAI,SUMATERA BARAT
SIBERUT SELATAN,KEPULAUAN MENTAWAI,SUMATERA BARAT
SEBERUT BARAT DAYA,KEPULAUAN MENTAWAI,SUMATERA BARAT
SIBERUT TENGAH,KEPULAUAN MENTAWAI,SUMATERA BARAT
SIBERUT UTARA,KEPULAUAN MENTAWAI,SUMATERA BARAT
SIBERUT BARAT,KEPULAUAN MENTAWAI,SUMATERA BARAT
SILAUT,PESISIR SELATAN,SUMATERA BARAT
LUNANG,PESISIR SELATAN,SUMATERA BARAT
BASA AMPEK BALAI TAPAN,PESISIR SELATAN,SUMATERA BARAT
RANAH AMPEK HULU TAPAN,PESISIR SELATAN,SUMATERA BARAT
PANCUNG SOAL,PESISIR SELATAN,SUMATERA BARAT
AIRPURA,PESISIR SELATAN,SUMATERA BARAT
LINGGO SARI BAGANTI,PESISIR SELATAN,SUMATERA BARAT
RANAH PESISIR,PESISIR SELATAN,SUMATERA BARAT
LENGAYANG,PESISIR SELATAN,SUMATERA BARAT
SUTERA,PESISIR SELATAN,SUMATERA BARAT
BATANG KAPAS,PESISIR SELATAN,SUMATERA BARAT
IV JURAI,PESISIR SELATAN,SUMATERA BARAT
BAYANG,PESISIR SELATAN,SUMATERA BARAT
IV  NAGARI BAYANG UTARA,PESISIR SELATAN,SUMATERA BARAT
KOTO XI TARUSAN,PESISIR SELATAN,SUMATERA BARAT
PANTAI CERMIN,SOLOK,SUMATERA BARAT
LEMBAH GUMANTI,SOLOK,SUMATERA BARAT
HILIRAN GUMANTI,SOLOK,SUMATERA BARAT
PAYUNG SEKAKI,SOLOK,SUMATERA BARAT
TIGO LURAH,SOLOK,SUMATERA BARAT
LEMBANG JAYA,SOLOK,SUMATERA BARAT
DANAU KEMBAR,SOLOK,SUMATERA BARAT
GUNUNG TALANG,SOLOK,SUMATERA BARAT
BUKIT SUNDI,SOLOK,SUMATERA BARAT
IX KOTO SUNGAI LASI,SOLOK,SUMATERA BARAT
KUBUNG,SOLOK,SUMATERA BARAT
X KOTO DIATAS,SOLOK,SUMATERA BARAT
X KOTO SINGKARAK,SOLOK,SUMATERA BARAT
JUNJUNG SIRIH,SOLOK,SUMATERA BARAT
KAMANG BARU,SIJUNJUNG,SUMATERA BARAT
TANJUNG GADANG,SIJUNJUNG,SUMATERA BARAT
SIJUNJUNG,SIJUNJUNG,SUMATERA BARAT
LUBUK TAROK,SIJUNJUNG,SUMATERA BARAT
IV NAGARI,SIJUNJUNG,SUMATERA BARAT
KUPITAN,SIJUNJUNG,SUMATERA BARAT
KOTO TUJUH,SIJUNJUNG,SUMATERA BARAT
SUMPUR KUDUS,SIJUNJUNG,SUMATERA BARAT
SEPULUH KOTO,TANAH DATAR,SUMATERA BARAT
BATIPUH,TANAH DATAR,SUMATERA BARAT
BATIPUH SELATAN,TANAH DATAR,SUMATERA BARAT
PARIANGAN,TANAH DATAR,SUMATERA BARAT
RAMBATAN,TANAH DATAR,SUMATERA BARAT
LIMA KAUM,TANAH DATAR,SUMATERA BARAT
TANJUNG EMAS,TANAH DATAR,SUMATERA BARAT
PADANG GANTING,TANAH DATAR,SUMATERA BARAT
LINTAU BUO,TANAH DATAR,SUMATERA BARAT
LINTAU BUO UTARA,TANAH DATAR,SUMATERA BARAT
SUNGAYANG,TANAH DATAR,SUMATERA BARAT
SUNGAI TARAB,TANAH DATAR,SUMATERA BARAT
SALIMPAUNG,TANAH DATAR,SUMATERA BARAT
TANJUNG BARU,TANAH DATAR,SUMATERA BARAT
BATANG ANAI,PADANG PARIAMAN,SUMATERA BARAT
LUBUK ALUNG,PADANG PARIAMAN,SUMATERA BARAT
SINTUK TOBOH GADANG,PADANG PARIAMAN,SUMATERA BARAT
ULAKAN TAPAKIS,PADANG PARIAMAN,SUMATERA BARAT
NAN SABARIS,PADANG PARIAMAN,SUMATERA BARAT
2 X 11 ENAM LINGKUNG,PADANG PARIAMAN,SUMATERA BARAT
ENAM LINGKUNG,PADANG PARIAMAN,SUMATERA BARAT
2 X 11 KAYU TANAM,PADANG PARIAMAN,SUMATERA BARAT
VII KOTO SUNGAI SARIAK,PADANG PARIAMAN,SUMATERA BARAT
PATAMUAN,PADANG PARIAMAN,SUMATERA BARAT
PADANG SAGO,PADANG PARIAMAN,SUMATERA BARAT
V KOTO KP DALAM,PADANG PARIAMAN,SUMATERA BARAT
V KOTO TIMUR,PADANG PARIAMAN,SUMATERA BARAT
SUNGAI LIMAU,PADANG PARIAMAN,SUMATERA BARAT
BATANG GASAN,PADANG PARIAMAN,SUMATERA BARAT
SUNGAI GERINGGING,PADANG PARIAMAN,SUMATERA BARAT
IV KOTO AUR MALINTANG,PADANG PARIAMAN,SUMATERA BARAT
TANJUNG MUTIARA,AGAM,SUMATERA BARAT
LUBUK BASUNG,AGAM,SUMATERA BARAT
AMPEK NAGARI,AGAM,SUMATERA BARAT
TANJUNG RAYA,AGAM,SUMATERA BARAT
MATUR,AGAM,SUMATERA BARAT
IV KOTO,AGAM,SUMATERA BARAT
MALALAK,AGAM,SUMATERA BARAT
BANUHAMPU,AGAM,SUMATERA BARAT
SUNGAI PUA,AGAM,SUMATERA BARAT
AMPEK ANGKEK,AGAM,SUMATERA BARAT
CANDUANG,AGAM,SUMATERA BARAT
BASO,AGAM,SUMATERA BARAT
TILATANG KAMANG,AGAM,SUMATERA BARAT
KAMANG MAGEK,AGAM,SUMATERA BARAT
PALEMBAYAN,AGAM,SUMATERA BARAT
PALUPUH,AGAM,SUMATERA BARAT
PAYAKUMBUH,LIMA PULUH KOTA,SUMATERA BARAT
AKABILURU,LIMA PULUH KOTA,SUMATERA BARAT
LUAK,LIMA PULUH KOTA,SUMATERA BARAT
LAREH SAGO HALABAN,LIMA PULUH KOTA,SUMATERA BARAT
SITUJUAH LIMO NAGARI,LIMA PULUH KOTA,SUMATERA BARAT
HARAU,LIMA PULUH KOTA,SUMATERA BARAT
GUGUAK,LIMA PULUH KOTA,SUMATERA BARAT
MUNGKA,LIMA PULUH KOTA,SUMATERA BARAT
SULIKI,LIMA PULUH KOTA,SUMATERA BARAT
BUKIK BARISAN,LIMA PULUH KOTA,SUMATERA BARAT
GUNUANG OMEH,LIMA PULUH KOTA,SUMATERA BARAT
KAPUR IX,LIMA PULUH KOTA,SUMATERA BARAT
PANGKALAN KOTO BARU,LIMA PULUH KOTA,SUMATERA BARAT
BONJOL,PASAMAN,SUMATERA BARAT
TIGO NAGARI,PASAMAN,SUMATERA BARAT
SIMPANG ALAHAN MATI,PASAMAN,SUMATERA BARAT
LUBUK SIKAPING,PASAMAN,SUMATERA BARAT
DUA KOTO,PASAMAN,SUMATERA BARAT
PANTI,PASAMAN,SUMATERA BARAT
PADANG GELUGUR,PASAMAN,SUMATERA BARAT
RAO,PASAMAN,SUMATERA BARAT
MAPAT TUNGGUL,PASAMAN,SUMATERA BARAT
MAPAT TUNGGUL SELATAN,PASAMAN,SUMATERA BARAT
RAO SELATAN,PASAMAN,SUMATERA BARAT
RAO UTARA,PASAMAN,SUMATERA BARAT
SANGIR,SOLOK SELATAN,SUMATERA BARAT
SANGIR JUJUAN,SOLOK SELATAN,SUMATERA BARAT
SANGIR BALAI JANGGO,SOLOK SELATAN,SUMATERA BARAT
SANGIR BATANG HARI,SOLOK SELATAN,SUMATERA BARAT
SUNGAI PAGU,SOLOK SELATAN,SUMATERA BARAT
PAUAH DUO,SOLOK SELATAN,SUMATERA BARAT
KOTO PARIK GADANG DIATEH,SOLOK SELATAN,SUMATERA BARAT
SUNGAI RUMBAI,DHARMASRAYA,SUMATERA BARAT
KOTO BESAR,DHARMASRAYA,SUMATERA BARAT
ASAM JUJUHAN,DHARMASRAYA,SUMATERA BARAT
KOTO BARU,DHARMASRAYA,SUMATERA BARAT
KOTO SALAK,DHARMASRAYA,SUMATERA BARAT
TIUMANG,DHARMASRAYA,SUMATERA BARAT
PADANG LAWEH,DHARMASRAYA,SUMATERA BARAT
SITIUNG,DHARMASRAYA,SUMATERA BARAT
TIMPEH,DHARMASRAYA,SUMATERA BARAT
PULAU PUNJUNG,DHARMASRAYA,SUMATERA BARAT
IX KOTO,DHARMASRAYA,SUMATERA BARAT
SUNGAI BEREMAS,PASAMAN BARAT,SUMATERA BARAT
RANAH BATAHAN,PASAMAN BARAT,SUMATERA BARAT
KOTO BALINGKA,PASAMAN BARAT,SUMATERA BARAT
SUNGAI AUR,PASAMAN BARAT,SUMATERA BARAT
LEMBAH MALINTANG,PASAMAN BARAT,SUMATERA BARAT
GUNUNG TULEH,PASAMAN BARAT,SUMATERA BARAT
TALAMAU,PASAMAN BARAT,SUMATERA BARAT
PASAMAN,PASAMAN BARAT,SUMATERA BARAT
LUHAK NAN DUO,PASAMAN BARAT,SUMATERA BARAT
SASAK RANAH PASISIE,PASAMAN BARAT,SUMATERA BARAT
KINALI,PASAMAN BARAT,SUMATERA BARAT
BUNGUS TELUK KABUNG,PADANG,SUMATERA BARAT
LUBUK KILANGAN,PADANG,SUMATERA BARAT
LUBUK BEGALUNG,PADANG,SUMATERA BARAT
PADANG SELATAN,PADANG,SUMATERA BARAT
PADANG TIMUR,PADANG,SUMATERA BARAT
PADANG BARAT,PADANG,SUMATERA BARAT
PADANG UTARA,PADANG,SUMATERA BARAT
NANGGALO,PADANG,SUMATERA BARAT
KURANJI,PADANG,SUMATERA BARAT
PAUH,PADANG,SUMATERA BARAT
KOTO TANGAH,PADANG,SUMATERA BARAT
LUBUK SIKARAH,SOLOK,SUMATERA BARAT
TANJUNG HARAPAN,SOLOK,SUMATERA BARAT
SILUNGKANG,SAWAH LUNTO,SUMATERA BARAT
LEMBAH SEGAR,SAWAH LUNTO,SUMATERA BARAT
BARANGIN,SAWAH LUNTO,SUMATERA BARAT
TALAWI,SAWAH LUNTO,SUMATERA BARAT
PADANG PANJANG BARAT,PADANG PANJANG,SUMATERA BARAT
PADANG PANJANG TIMUR,PADANG PANJANG,SUMATERA BARAT
GUGUK PANJANG,BUKITTINGGI,SUMATERA BARAT
MANDIANGIN KOTO SELAYAN,BUKITTINGGI,SUMATERA BARAT
AUR BIRUGO TIGO BALEH,BUKITTINGGI,SUMATERA BARAT
PAYAKUMBUH BARAT,PAYAKUMBUH,SUMATERA BARAT
PAYAKUMBUH SELATAN,PAYAKUMBUH,SUMATERA BARAT
PAYAKUMBUH TIMUR,PAYAKUMBUH,SUMATERA BARAT
PAYAKUMBUH UTARA,PAYAKUMBUH,SUMATERA BARAT
LAMPOSI TIGO NAGORI,PAYAKUMBUH,SUMATERA BARAT
PARIAMAN SELATAN,PARIAMAN,SUMATERA BARAT
PARIAMAN TENGAH,PARIAMAN,SUMATERA BARAT
PARIAMAN TIMUR,PARIAMAN,SUMATERA BARAT
PARIAMAN UTARA,PARIAMAN,SUMATERA BARAT
KUANTAN MUDIK,KUANTAN SINGINGI,RIAU
HULU KUANTAN,KUANTAN SINGINGI,RIAU
GUNUNG TOAR,KUANTAN SINGINGI,RIAU
PUCUK RANTAU,KUANTAN SINGINGI,RIAU
SINGINGI,KUANTAN SINGINGI,RIAU
SINGINGI HILIR,KUANTAN SINGINGI,RIAU
KUANTAN TENGAH,KUANTAN SINGINGI,RIAU
SENTAJO RAYA,KUANTAN SINGINGI,RIAU
BENAI,KUANTAN SINGINGI,RIAU
KUANTAN HILIR,KUANTAN SINGINGI,RIAU
PANGEAN,KUANTAN SINGINGI,RIAU
LOGAS TANAH DARAT,KUANTAN SINGINGI,RIAU
KUANTAN HILIR SEBERANG,KUANTAN SINGINGI,RIAU
CERENTI,KUANTAN SINGINGI,RIAU
INUMAN,KUANTAN SINGINGI,RIAU
PERANAP,INDRAGIRI HULU,RIAU
BATANG PERANAP,INDRAGIRI HULU,RIAU
SEBERIDA,INDRAGIRI HULU,RIAU
BATANG CENAKU,INDRAGIRI HULU,RIAU
BATANG GANSAL,INDRAGIRI HULU,RIAU
KELAYANG,INDRAGIRI HULU,RIAU
RAKIT KULIM,INDRAGIRI HULU,RIAU
PASIR PENYU,INDRAGIRI HULU,RIAU
LIRIK,INDRAGIRI HULU,RIAU
SUNGAI LALA,INDRAGIRI HULU,RIAU
LUBUK BATU JAYA,INDRAGIRI HULU,RIAU
RENGAT BARAT,INDRAGIRI HULU,RIAU
RENGAT,INDRAGIRI HULU,RIAU
KUALA CENAKU,INDRAGIRI HULU,RIAU
KERITANG,INDRAGIRI HILIR,RIAU
KEMUNING,INDRAGIRI HILIR,RIAU
RETEH,INDRAGIRI HILIR,RIAU
SUNGAI BATANG,INDRAGIRI HILIR,RIAU
ENOK,INDRAGIRI HILIR,RIAU
TANAH MERAH,INDRAGIRI HILIR,RIAU
KUALA INDRAGIRI,INDRAGIRI HILIR,RIAU
CONCONG,INDRAGIRI HILIR,RIAU
TEMBILAHAN,INDRAGIRI HILIR,RIAU
TEMBILAHAN HULU,INDRAGIRI HILIR,RIAU
TEMPULING,INDRAGIRI HILIR,RIAU
KEMPAS,INDRAGIRI HILIR,RIAU
BATANG TUAKA,INDRAGIRI HILIR,RIAU
GAUNG ANAK SERKA,INDRAGIRI HILIR,RIAU
GAUNG,INDRAGIRI HILIR,RIAU
MANDAH,INDRAGIRI HILIR,RIAU
KATEMAN,INDRAGIRI HILIR,RIAU
PELANGIRAN,INDRAGIRI HILIR,RIAU
TELUK BELENGKONG,INDRAGIRI HILIR,RIAU
PULAU BURUNG,INDRAGIRI HILIR,RIAU
LANGGAM,PALALAWAN,RIAU
LANGGAM,PELALAWAN,RIAU
PANGKALAN KERINCI,PELALAWAN,RIAU
BANDAR SEIKIJANG,PELALAWAN,RIAU
PANGKALAN KURAS,PELALAWAN,RIAU
UKUI,PELALAWAN,RIAU
PANGKALAN LESUNG,PELALAWAN,RIAU
BUNUT,PELALAWAN,RIAU
PELALAWAN,PELALAWAN,RIAU
BANDAR PETALANGAN,PELALAWAN,RIAU
KUALA KAMPAR,PELALAWAN,RIAU
KERUMUTAN,PELALAWAN,RIAU
TELUK MERANTI,PELALAWAN,RIAU
MINAS,S I A K,RIAU
SUNGAI MANDAU,S I A K,RIAU
KANDIS,S I A K,RIAU
SIAK,S I A K,RIAU
KERINCI KANAN,S I A K,RIAU
TUALANG,S I A K,RIAU
DAYUN,S I A K,RIAU
